==================================================
RMC_IN (2021-11-29 21:09:37)
==================================================
No,Bit,Tag_Name
1,0,Auto
2,1,Manual
3,2,Test_Start
4,3,Test_Stop
5,4,EmergencyStop
6,5,All_HomePos_Run
7,6,
8,7,
9,8,Jog_CCW
10,9,Jog_CW
11,10,
12,11,
13,12,
14,13,
15,14,
16,15,
17,16,
18,17,
19,18,
20,19,
21,20,
22,21,
23,22,
24,23,
25,24,
26,25,
27,26,
28,27,
29,28,
30,29,
31,30,
32,31,
